AAPL,AMZN,BA,COST,JNJ,NVDA,TMO,TSLA,VLO,date
0.14733088,0.095344715,-0.12618728,0.14733088,0.14703998,0.1473305,0.14733051,0.14732686,0.14715295,2024-03-26
0.14715242,0.09373783,-0.12337478,0.14715242,0.14682014,0.14715227,0.14715208,0.14714882,0.14705871,2024-03-27
0.1461799,0.09599085,-0.11878055,0.1461799,0.14577472,0.14617983,0.14617959,0.14617677,0.14611904,2024-03-28
0.14409888,0.102838926,-0.11093729,0.14409888,0.14356013,0.14409883,0.14409855,0.14409618,0.14404692,2024-04-01
0.1400984,0.1142312,-0.09389918,0.1400984,0.13914455,0.14009838,0.14009802,0.14009616,0.14003406,2024-04-02
0.13664648,0.1204977,-0.07522011,0.13664648,0.1349501,0.13664645,0.13664593,0.1366443,0.13654265,2024-04-03
0.13294175,0.12366189,-0.050564777,0.13294175,0.12946546,0.13294172,0.13294083,0.13293952,0.13273183,2024-04-04
0.13016832,0.123726815,-0.027613698,0.13016832,0.12330085,0.13016826,0.13016637,0.13016526,0.12974952,2024-04-05
0.12742187,0.12323951,0.00067066966,0.12742187,0.11255079,0.12742175,0.12741728,0.12741747,0.12643878,2024-04-08
0.12562506,0.12271712,0.025567912,0.12562504,0.09971586,0.12562488,0.12561667,0.1256196,0.12388788,2024-04-09
0.1251349,0.1227315,0.039395016,0.12513487,0.08995832,0.1251346,0.12512149,0.125128,0.12226127,2024-04-10
0.12514484,0.1231901,0.048948452,0.1251448,0.08171859,0.12514435,0.12512639,0.12513712,0.120445296,2024-04-11
0.12581335,0.12416282,0.058844406,0.12581323,0.07026351,0.12581244,0.12578383,0.12580355,0.11770286,2024-04-12
0.12682459,0.12535591,0.066567056,0.12682435,0.05952171,0.12682311,0.1267806,0.12681244,0.11449026,2024-04-15
0.12810883,0.1268004,0.07378548,0.1281084,0.048505615,0.12810662,0.12804602,0.12809435,0.110444255,2024-04-16
0.12948218,0.12809046,0.07343591,0.12948142,0.04455517,0.12947854,0.12939535,0.12946372,0.10661726,2024-04-17
0.13256575,0.13107336,0.08328806,0.1325634,0.024876777,0.13255833,0.13235831,0.13253121,0.098184824,2024-04-18
0.13490127,0.13304512,0.083080366,0.13489646,0.015467644,0.13488843,0.13451205,0.13484403,0.09436466,2024-04-19
0.13701232,0.13449882,0.07169463,0.13700373,0.019117076,0.13698652,0.13647945,0.13693339,0.09027409,2024-04-22
0.13910426,0.1358419,0.05779618,0.13909133,0.025053155,0.13905735,0.13847907,0.1390089,0.08656787,2024-04-23
0.14070354,0.13672055,0.04960464,0.1406854,0.027178604,0.14063272,0.13994476,0.14058541,0.08394439,2024-04-24
0.14153196,0.1372493,0.0519764,0.14150836,0.023316104,0.14144649,0.140626,0.1413897,0.08095566,2024-04-25
0.14375915,0.13987505,0.062363956,0.14372149,0.01346638,0.14364615,0.14266215,0.14360775,0.0668979,2024-04-26
0.145811,0.14295463,0.08745992,0.14575763,-0.009043508,0.14570789,0.14446226,0.14565423,0.05123592,2024-04-29
0.14627531,0.14363474,0.11291307,0.1461959,-0.035141498,0.14620326,0.14381534,0.14596547,0.050138373,2024-04-30
0.1501232,0.14852665,0.13367657,0.1500259,-0.061436903,0.15008382,0.1469445,0.14978972,0.03226653,2024-05-01
0.15958366,0.15885259,0.15246151,0.15943529,-0.09468195,0.1595647,0.15529835,0.15929143,-0.009805651,2024-05-02
0.16510954,0.16471869,0.16144338,0.16493437,-0.114050925,0.16510382,0.16022362,0.16485552,-0.032337997,2024-05-03
0.1611325,0.16092359,0.15921707,0.16108125,-0.11705761,0.16113123,0.15836981,0.16099912,-0.005796894,2024-05-06
0.1457802,0.14562769,0.14438412,0.1457771,-0.09679117,0.14577994,0.14504679,0.14573427,0.07866107,2024-05-07
0.13591166,0.13575727,0.13451356,0.13591154,-0.07061256,0.13591164,0.13573286,0.13589516,0.12097891,2024-05-08
0.12962048,0.12940766,0.12764733,0.12962046,-0.03220181,0.12962048,0.12957318,0.12961318,0.12709908,2024-05-09
0.121113464,0.12066025,0.11685928,0.121113464,0.03610465,0.121113464,0.121102326,0.121109664,0.12082344,2024-05-10
0.115444966,0.114388585,0.10529139,0.115444966,0.08769784,0.115444966,0.115441985,0.115442656,0.11540265,2024-05-13
0.11468044,0.11278593,0.094751865,0.11468044,0.10439396,0.11468044,0.114679426,0.11467898,0.11466853,2024-05-14
0.11589208,0.11303585,0.07982379,0.11589208,0.111793295,0.11589208,0.11589178,0.1158913,0.115887746,2024-05-15
0.11897906,0.11472539,0.054104894,0.11897906,0.11729776,0.11897906,0.11897896,0.11897866,0.11897719,2024-05-16
0.12349086,0.117640585,0.018667532,0.12349086,0.12274801,0.12349086,0.12349083,0.12349066,0.12348986,2024-05-17
0.12594955,0.11990815,-0.0010703645,0.12594955,0.12546593,0.12594955,0.12594953,0.12594943,0.12594868,2024-05-20
0.12704827,0.120896585,-0.009838302,0.12704827,0.12665299,0.12704827,0.12704827,0.12704816,0.12704743,2024-05-21
0.12678955,0.12082648,-0.007949191,0.12678955,0.12638646,0.12678955,0.12678955,0.12678945,0.12678863,2024-05-22
0.12690899,0.12120841,-0.009186192,0.12690899,0.12652498,0.12690899,0.12690899,0.1269089,0.126908,2024-05-23
