AAPL,AMZN,BA,COST,JNJ,NVDA,TMO,TSLA,VLO,date
0.1111113,0.1111113,0.111109614,0.1111113,0.1111113,0.1111113,0.1111113,0.1111113,0.1111113,2024-03-26
0.1111113,0.1111113,0.111109614,0.1111113,0.1111113,0.1111113,0.1111113,0.1111113,0.1111113,2024-03-27
0.1111113,0.1111113,0.111109614,0.1111113,0.1111113,0.1111113,0.1111113,0.1111113,0.1111113,2024-03-28
0.1111113,0.1111113,0.111109614,0.1111113,0.1111113,0.1111113,0.1111113,0.1111113,0.1111113,2024-04-01
0.14285839,0.14285839,0.14285839,0.14285839,-0.14285839,0.14285839,0.14285839,0.14285839,0.14284973,2024-04-02
0.14285818,0.14285818,0.14285818,0.14285818,-0.14285818,0.14285818,0.14285818,0.14285818,0.14285089,2024-04-03
0.11111111,0.11111111,0.11111111,0.11111111,0.111111045,0.11111111,0.11111111,0.11111111,0.11111111,2024-04-04
0.11111111,0.11111111,0.11111111,0.11111111,0.11111105,0.11111111,0.11111111,0.11111111,0.11111111,2024-04-05
0.11111111,0.11111111,0.11111111,0.11111111,0.11111105,0.11111111,0.11111111,0.11111111,0.11111111,2024-04-08
0.14285782,0.14285782,0.14285782,0.14285782,-0.14285782,0.14285782,0.14285782,0.14285782,0.14285305,2024-04-09
0.1111113,0.1111113,0.111109614,0.1111113,0.1111113,0.1111113,0.1111113,0.1111113,0.1111113,2024-04-10
0.1111113,0.1111113,0.111109614,0.1111113,0.1111113,0.1111113,0.1111113,0.1111113,0.1111113,2024-04-11
0.1111113,0.1111113,0.111109614,0.1111113,0.1111113,0.1111113,0.1111113,0.1111113,0.1111113,2024-04-12
0.1111113,0.1111113,0.111109614,0.1111113,0.1111113,0.1111113,0.1111113,0.1111113,0.1111113,2024-04-15
0.14285713,0.14285713,-0.14285709,0.14285713,0.14285713,0.14285713,0.14285713,0.14285713,0.14285713,2024-04-16
0.14285713,0.14285713,-0.14285709,0.14285713,0.14285713,0.14285713,0.14285713,0.14285713,0.14285713,2024-04-17
0.14285713,0.14285713,-0.14285709,0.14285713,0.14285713,0.14285713,0.14285713,0.14285713,0.14285713,2024-04-18
0.14285713,0.14285713,-0.14285709,0.14285713,0.14285713,0.14285713,0.14285713,0.14285713,0.14285713,2024-04-19
0.14285713,0.14285713,-0.14285709,0.14285713,0.14285713,0.14285713,0.14285713,0.14285713,0.14285713,2024-04-22
0.1111113,0.1111113,0.111109614,0.1111113,0.1111113,0.1111113,0.1111113,0.1111113,0.1111113,2024-04-23
0.1111113,0.1111113,0.1111096,0.1111113,0.1111113,0.1111113,0.1111113,0.1111113,0.1111113,2024-04-24
0.2,-0.2,-0.2,0.2,0.2,0.2,0.2,0.2,0.2,2024-04-25
0.2,-0.2,-0.2,0.2,0.2,0.2,0.2,0.2,0.2,2024-04-26
0.11111111,0.11111111,0.11111111,0.11111111,0.11111111,0.11111111,0.11111111,0.11111111,0.11111111,2024-04-29
0.11111111,0.11111111,0.11111111,0.11111111,0.11111111,0.11111111,0.11111111,0.11111111,0.11111111,2024-04-30
0.11111111,0.11111111,0.11111111,0.11111111,0.11111111,0.11111111,0.11111111,0.11111111,0.11111111,2024-05-01
0.11111111,0.11111111,0.11111111,0.11111111,0.11111111,0.11111111,0.11111111,0.11111111,0.11111111,2024-05-02
0.1111113,0.1111113,0.111109614,0.1111113,0.1111113,0.1111113,0.1111113,0.1111113,0.1111113,2024-05-03
0.14285791,0.14285791,0.14285791,0.14285791,-0.14285791,0.14285791,0.14285791,0.14285791,0.14285254,2024-05-06
0.14285788,0.14285788,0.14285788,0.14285788,-0.14285788,0.14285788,0.14285788,0.14285788,0.14285266,2024-05-07
0.1111113,0.1111113,0.111109614,0.1111113,0.1111113,0.1111113,0.1111113,0.1111113,0.1111113,2024-05-08
0.1111113,0.1111113,0.111109614,0.1111113,0.1111113,0.1111113,0.1111113,0.1111113,0.1111113,2024-05-09
0.1111113,0.1111113,0.111109614,0.1111113,0.1111113,0.1111113,0.1111113,0.1111113,0.1111113,2024-05-10
0.1111113,0.1111113,0.111109614,0.1111113,0.1111113,0.1111113,0.1111113,0.1111113,0.1111113,2024-05-13
0.1111113,0.1111113,0.111109614,0.1111113,0.1111113,0.1111113,0.1111113,0.1111113,0.1111113,2024-05-14
0.1111113,0.1111113,0.111109614,0.1111113,0.1111113,0.1111113,0.1111113,0.1111113,0.1111113,2024-05-15
0.1111113,0.1111113,0.111109614,0.1111113,0.1111113,0.1111113,0.1111113,0.1111113,0.1111113,2024-05-16
0.1111113,0.1111113,0.111109614,0.1111113,0.1111113,0.1111113,0.1111113,0.1111113,0.1111113,2024-05-17
0.1111113,0.1111113,0.111109614,0.1111113,0.1111113,0.1111113,0.1111113,0.1111113,0.1111113,2024-05-20
0.1111113,0.1111113,0.111109614,0.1111113,0.1111113,0.1111113,0.1111113,0.1111113,0.1111113,2024-05-21
0.1111113,0.1111113,0.111109614,0.1111113,0.1111113,0.1111113,0.1111113,0.1111113,0.1111113,2024-05-22
0.1111113,0.1111113,0.111109614,0.1111113,0.1111113,0.1111113,0.1111113,0.1111113,0.1111113,2024-05-23
0.1111113,0.1111113,0.111109614,0.1111113,0.1111113,0.1111113,0.1111113,0.1111113,0.1111113,2024-05-24
0.1111113,0.1111113,0.111109614,0.1111113,0.1111113,0.1111113,0.1111113,0.1111113,0.1111113,2024-05-28
0.1111113,0.1111113,0.111109614,0.1111113,0.1111113,0.1111113,0.1111113,0.1111113,0.1111113,2024-05-29
0.1111113,0.1111113,0.111109614,0.1111113,0.1111113,0.1111113,0.1111113,0.1111113,0.1111113,2024-05-30
0.14285715,0.14285715,0.14285715,0.14285715,-0.14285715,0.14285715,0.14285715,0.14285715,0.14285715,2024-05-31
0.14285715,0.14285715,0.14285715,0.14285715,-0.14285715,0.14285715,0.14285715,0.14285715,0.14285715,2024-06-03
0.14285858,0.14285858,0.14285858,0.14285858,-0.14285858,0.14285858,0.14285858,0.14285858,0.14284857,2024-06-04
0.11111111,0.11111111,0.11111111,0.11111111,0.11111111,0.11111111,0.11111111,0.11111111,0.11111111,2024-06-05
0.11111111,0.11111111,0.11111111,0.11111111,0.11111111,0.11111111,0.11111111,0.11111111,0.11111111,2024-06-06
0.11111111,0.11111111,0.11111111,0.11111111,0.11111111,0.11111111,0.11111111,0.11111111,0.11111111,2024-06-07
0.11111111,0.11111111,0.11111111,0.11111111,0.11111111,0.11111111,0.11111111,0.11111111,0.11111111,2024-06-10
