,date,portfolio_return
1,2024-03-27,-0.0026093305408371693
2,2024-03-28,-0.0014646550116544127
3,2024-04-01,-0.00018200799779456624
4,2024-04-02,-0.008683989915004648
5,2024-04-03,0.00271209167685161
6,2024-04-04,-0.006148011499544194
7,2024-04-05,0.009509900170218832
8,2024-04-08,0.0001275414187350164
9,2024-04-09,0.0022803618399391814
10,2024-04-10,-0.007275180872107488
11,2024-04-11,0.010096877800912006
12,2024-04-12,-0.015255046442786298
13,2024-04-15,-0.022143734768535407
14,2024-04-16,-0.001036543309792411
15,2024-04-17,-0.020629901276787394
16,2024-04-18,-0.00247695330608753
17,2024-04-19,-0.014176101821179943
18,2024-04-22,0.0076540202831431505
19,2024-04-23,0.028224156236284274
20,2024-04-24,-0.009065511568910329
21,2024-04-25,0.020371402479912867
22,2024-04-26,0.003891645455928114
23,2024-04-29,0.029990401690024166
24,2024-04-30,-0.029863549207850372
25,2024-05-01,0.0006764529231677815
26,2024-05-02,0.01028808297757859
27,2024-05-03,0.013828048071320043
28,2024-05-06,0.0049927515393462674
29,2024-05-07,-0.006582067082025068
30,2024-05-08,-0.007691988780697094
31,2024-05-09,0.00922527955602527
32,2024-05-10,-0.007777575754478431
33,2024-05-13,0.0016122783807257413
34,2024-05-14,0.011709284379013408
35,2024-05-15,0.009591791055247875
36,2024-05-16,0.004567792252981849
37,2024-05-17,0.0081800821616349
38,2024-05-20,-0.006294561509848699
39,2024-05-21,0.01039843155729186
40,2024-05-22,0.0030584121704922713
41,2024-05-23,-0.01453156521054288
42,2024-05-24,0.009685901388989893
43,2024-05-28,0.0030960259338846737
44,2024-05-29,-0.010983332302876951
45,2024-05-30,-0.010025711897327396
46,2024-05-31,0.015822783428944963
47,2024-06-03,0.01083301180823566
48,2024-06-04,0.001537507060384778
49,2024-06-05,0.010475253634267562
50,2024-06-06,0.010470942552820807
51,2024-06-07,0.0003485829463899786
52,2024-06-10,-0.002799234130153856
53,2024-06-11,-0.0026724432607858
54,2024-06-12,0.0003427161429127379
55,2024-06-13,0.008205324706837887
56,2024-06-14,-0.001845607968795025
57,2024-06-17,0.009598045263072025
58,2024-06-18,-0.0003335189168029182
59,2024-06-20,-0.008286173971578306
60,2024-06-21,-0.0034091080492997883
61,2024-06-24,-0.008522046037041316
62,2024-06-25,0.005887536516218163
63,2024-06-26,0.016880598491773743
64,2024-06-27,0.0008738089823300101
65,2024-06-28,0.0008005269866941255
66,2024-07-01,0.012927926847012714
67,2024-07-02,0.010168813922033264
68,2024-07-03,0.014263866773317459
69,2024-07-05,0.002766410543146804
70,2024-07-08,-0.0007467912640023193
