date,sp500_log_return
2021-01-06,0.005960709303663396
2021-01-07,0.014748158100478918
2021-01-08,0.005681534563541378
2021-01-11,-0.006763628652950582
2021-01-12,0.00021123227707725133
2021-01-13,0.0026893076744144537
2021-01-14,-0.0035080814084672996
2021-01-15,-0.007319434395981075
2021-01-19,0.00782134297990838
2021-01-20,0.01374375765753633
2021-01-21,0.0009113041392009087
2021-01-22,-0.0035457331965057324
2021-01-25,0.003936038029531221
2021-01-26,-0.0015621341925411841
2021-01-27,-0.02474407434859666
2021-01-28,0.008563426619514418
2021-01-29,-0.02022270333452971
2021-02-01,0.016508481570626607
2021-02-02,0.014041245231574047
2021-02-03,0.0007859575987509399
2021-02-04,0.01130161500525949
2021-02-05,0.003928161143618354
2021-02-08,0.007195939663207556
2021-02-09,-0.0006660177509372693
2021-02-10,-0.0004357131026347282
2021-02-11,0.0016137505263130205
2021-02-12,0.00492756470332675
2021-02-16,-0.0008663083070397093
2021-02-17,0.0002293899511771246
2021-02-18,-0.00426505224434416
2021-02-19,-0.0017675316801529283
2021-02-22,-0.007721449837032122
2021-02-23,0.0012136393882467825
2021-02-24,0.010959084107023828
2021-02-25,-0.02439082287298519
2021-02-26,-0.005165937356196809
2021-03-01,0.023951063077206795
2021-03-02,-0.00783388019112867
2021-03-03,-0.013334225380949319
2021-03-04,-0.012452015478377114
2021-03-05,0.018229431718389397
2021-03-08,-0.004991190867331691
2021-03-09,0.014176517512846978
2021-03-10,0.006205362686550293
2021-03-11,0.010088068084801373
2021-03-12,0.0013458781345700166
2021-03-15,0.005945847213205367
2021-03-16,-0.0012621164841791108
2021-03-17,0.0034040654679617643
2021-03-18,-0.014656549607190868
2021-03-19,-0.005121912447063258
2021-03-22,0.007953294189883874
2021-03-23,-0.007901944989636514
2021-03-24,-0.005096404946075616
2021-03-25,0.005609751979936211
2021-03-26,0.015986492583889036
2021-03-29,-0.0005052036077950325
2021-03-30,-0.0026565144463534212
2021-03-31,0.004045210683968171
2021-04-01,0.010741187917951974
2021-04-05,0.014251080747019931
2021-04-06,-0.0005907837903223113
2021-04-07,0.0011566242630121652
2021-04-08,0.00473556601386389
2021-04-09,0.007243845775370538
2021-04-12,0.0003644624826222133
2021-04-13,0.002959371474552633
2021-04-14,-0.0034210463907216274
2021-04-15,0.010685205371241405
2021-04-16,0.003336817278764506
2021-04-19,-0.00492511236166273
2021-04-20,-0.007348530736098715
2021-04-21,0.00941762973238686
2021-04-22,-0.009175040822362123
2021-04-23,0.010784051628062957
2021-04-26,0.002085456499818627
2021-04-27,-0.00021553530671502723
2021-04-28,-0.0002874526920574004
2021-04-29,0.006352563574061006
2021-04-30,-0.0065921706196542685
2021-05-03,0.002154399397026225
2021-05-04,-0.00618840573196446
2021-05-05,0.00031273681046842987
2021-05-06,0.007953852334532231
2021-05-07,0.0072516633953202065
2021-05-10,-0.009951752250937454
2021-05-11,-0.008964789955781326
2021-05-12,-0.02147419088693625
2021-05-13,0.011940952729975805
2021-05-14,0.015238666554026831
2021-05-17,-0.0025477720787986644
2021-05-18,-0.008653040238106712
2021-05-19,-0.0026251838119664504
2021-05-20,0.0107004676546085
2021-05-21,-0.0008190600539800562
2021-05-24,0.01014263409545412
2021-05-25,-0.0022211351245904954
2021-05-26,0.0019825399717120456
2021-05-27,0.0005248342121522201
2021-05-28,0.0017871402180712071
2021-06-01,-0.0008812566813437641
2021-06-02,0.00157142889480084
2021-06-03,-0.003718273858473231
2021-06-04,0.009104261989179973
2021-06-07,-0.0009706555053703371
2021-06-08,0.00021315144490800648
2021-06-09,-0.0014930151008434797
2021-06-10,0.004637634604537581
2021-06-11,0.0016510995353906704
2021-06-14,0.002236426417976686
2021-06-15,-0.001835856189125848
2021-06-16,-0.00559894681313816
2021-06-17,-0.00033172211469007103
2021-06-18,-0.01684849089797399
2021-06-21,0.01421450624684998
2021-06-22,0.005331955710690998
2021-06-23,-0.0012060873392119639
2021-06-24,0.005898330182788227
2021-06-25,0.0035458115604477046
2021-06-28,0.0020138635506151423
2021-06-29,0.0005379047570557724
2021-06-30,0.0008413574395543356
2021-07-01,0.005521336348274516
2021-07-02,0.007614455583289667
2021-07-06,-0.0018231124878851778
2021-07-07,0.003527828512688284
2021-07-08,-0.008181422602792495
2021-07-09,0.010618261437109413
2021-07-12,0.0035755252394434013
2021-07-13,-0.00341481074839022
2021-07-14,0.0014911166636517453
2021-07-15,-0.0034213973834137574
2021-07-16,-0.007874511010557299
2021-07-19,-0.014878064026179113
2021-07-20,0.014228713354011657
2021-07-21,0.008063721331801417
2021-07-22,0.0020919307407038026
2021-07-23,0.010235410353404478
2021-07-26,0.0024518719148446753
2021-07-27,-0.0045680340334088325
2021-07-28,-0.0004100975178226575
2021-07-29,0.0041388152044790774
2021-07-30,-0.004868292976358439
2021-08-02,-0.0021002176422100205
2021-08-03,0.008102554741012647
2021-08-04,-0.004931099717303744
2021-08-05,0.006312894231034348
2021-08-06,0.001651117140725153
2021-08-09,-0.0008139088419286315
2021-08-10,0.0012432049159437405
2021-08-11,0.0024817827416857606
2021-08-12,0.002992498492541449
2021-08-13,0.0018181211028260626
2021-08-16,0.0023519145337195283
2021-08-17,-0.006576829802911143
2021-08-18,-0.011005296646600982
2021-08-19,0.0015471426457048332
2021-08-20,0.007925586651118114
2021-08-23,0.008757999883902853
2021-08-24,0.0015861848884918582
2021-08-25,0.002096156329021839
2021-08-26,-0.00592068040972779
2021-08-27,0.008901242249708202
2021-08-30,0.004387915913653523
2021-08-31,-0.0014826455763727044
2021-09-01,0.0005313496405568216
