date,open,high,low,close,volume,daily_return,ann_return_1w,ann_return_2w,ann_return_1m,rolling_vol_7d,ann_volatility,ema_1w,ema_1m,macd_1w_1m,news_count,mean_sentiment,sentiment_variance,normalized_news_frequency,product
2021-01-04,464.1958,471.4499,457.387,466.9371,1407133,,,,,,,466.9371,466.9371,0.0,,0.0,0.0,0.0,0.0
2021-01-05,467.1153,477.9025,466.1207,472.7761,1360293,0.0124273558088443,,,,,,468.88343333333336,467.46791818181816,1.4155151515151942,,0.0,0.0,0.0,0.0
2021-01-06,467.1054,484.8894,465.3683,480.1886,1421498,0.0155570284982629,,,,,,472.6518222222223,468.62434380165286,4.027478420569423,,0.0,0.0,0.0,0.0
2021-01-07,484.8399,500.2587,483.0684,495.1521,1496722,0.030686044700303,,,,,,480.1519148148149,471.0359580015026,9.115956813312325,,0.0,0.0,0.0,0.0
2021-01-08,503.2276,513.6289,497.8439,506.9982,1552197,0.023642465191656,,,,,,489.10067654320994,474.3052527286387,14.795423814571222,,0.0,0.0,0.0,0.0
2021-01-11,500.7634,513.2825,500.7634,511.3527,1102606,0.0085521140898629,96.47504707004298,,,0.008929004940636446,,496.5180176954733,477.67320248058064,18.844815214892662,,0.0,0.0,0.0,0.0
2021-01-12,507.691,510.363,490.8075,493.6823,1429022,-0.0351673744885781,7.853581007308703,,,0.025874891921111937,,495.5727784636489,479.1285749823461,16.44420348130285,,0.0,0.0,0.0,0.0
2021-01-13,494.8255,499.7738,494.5979,496.31,899303,0.005308538603462,4.281964643461635,,,0.025595777326530265,0.3369638839219733,495.818518975766,480.6905227112237,15.127996264542332,,0.0,0.0,0.0,0.0
2021-01-14,497.2996,502.0692,490.9263,491.8412,965090,-0.0090448313286879,-0.2869031489280516,,,0.022191418543306474,0.3513503852382664,494.492745983844,481.70422064656697,12.788525337277065,,0.0,0.0,0.0,0.0
2021-01-15,494.8255,506.2114,490.8669,497.8583,1350057,0.0121595982183,-0.6002334499979192,,,0.019374847250155904,0.3479003630743555,495.6145973225627,483.1727733150609,12.44182400750185,,0.0,0.0,0.0,0.0
2021-01-19,504.722,508.646,497.8969,502.0538,1252391,0.0083917868806534,-0.6034507439808969,5.21720655890189,,0.019349744497053012,0.3018761973447001,497.76099821504187,484.8892302864189,12.871767928622944,,0.0,0.0,0.0,0.0
