date,open,high,low,close,volume,daily_return,ann_return_1w,ann_return_2w,ann_return_1m,rolling_vol_7d,ann_volatility,ema_1w,ema_1m,macd_1w_1m,news_count,mean_sentiment,sentiment_variance,normalized_news_frequency,product
2021-01-27,342.7962,347.2206,336.8267,337.9183,1783115,-0.0222232245879702,-0.5215728296773035,-0.4580523605546938,,0.011454430851285244,0.2378922202814622,342.0119751252715,347.83538336240923,-5.823408237137755,1.0,0.0,0.0,0.0106382978723404,0.0
2021-01-28,339.7499,343.2386,337.9848,338.279,1474332,0.0010668484899641,-0.5933735888728802,-0.5549560930693644,,0.011029078899830775,0.1984459189812994,340.76765008351435,346.96662123855384,-6.198971155039487,,0.0,0.0,0.0,0.0
2021-01-29,337.6146,338.1936,333.3147,334.1215,1668038,-0.0123662994960039,-0.7511656164030032,-0.5311111608134795,,0.01166224468937174,0.162101696188059,338.5522667223429,345.79888294413985,-7.246616221796899,,0.0,0.0,0.0,0.0
2021-02-01,334.8809,334.8809,331.4732,332.7167,1558019,-0.0042133221467416,-0.7887154512922852,-0.5523530885160186,,0.011433616346001516,0.1522091028575877,336.6070778148953,344.60959358558165,-8.00251577068633,2.0,0.3578725,0.1111537675125,0.0298507462686567,0.0106827611940298
2021-02-02,332.7167,339.532,332.7167,336.9691,1235321,0.0126998576178992,-0.7168621683276444,0.0487513514335793,,0.01324398018525477,0.1859447559540402,336.7277518765969,343.91500325961965,-7.187251383022726,,0.0,0.0,0.0,0.0
2021-02-03,336.9691,339.3706,335.27,338.2221,1116206,0.0037115455248788,0.0463322475581093,-0.2924734800612667,-0.5401426437680159,0.00931015653686881,0.1898854333514362,337.2258679177313,343.3974665996542,-6.171598681922887,1.0,-0.162625,0.0,0.0232558139534883,-0.003781976744186
2021-02-04,339.2964,340.8466,336.5382,338.1075,1911520,-0.000338888024705,-0.0252343236754732,-0.3704243741584787,-0.4731734863623948,0.009297887046569574,0.18027882366277,337.5197452784876,342.91656054514016,-5.396815266652595,2.0,0.0518585,0.0001801771445,0.048780487804878,0.0025296829268292
2021-02-05,338.8684,339.3867,336.776,337.7937,1291155,-0.0009285381429892,0.7348223276604711,-0.3429737870117336,-0.3733051376529896,0.006517193076612538,0.1208680143684947,337.6110635189917,342.4508459501274,-4.8397824311356885,1.0,0.6486,0.0,0.0227272727272727,0.014740909090909
2021-02-08,338.6021,342.4254,337.8317,342.1971,1463405,0.0129515327349378,3.1206614203035947,-0.0669233211755113,-0.2331068697817125,0.006817434431027118,0.1442621514519693,339.1397423459945,342.42777813647945,-3.288035790484969,1.0,-0.32968,0.0,0.0144927536231884,-0.0047779710144927
2021-02-09,342.7583,343.9794,340.7705,341.9689,1211419,-0.0006670895907207,1.1008027846211572,-0.2287563645585912,-0.2727646734601872,0.005906642370970926,0.1094049490135047,340.0827948973297,342.38606194225406,-2.3032670449243824,,0.0,0.0,0.0,0.0
2021-02-10,343.0341,343.3384,337.7461,338.6972,1423114,-0.0096133043685005,0.073309768082256,0.0597351659558955,-0.2126249471194007,0.008080621509926297,0.1281978392412329,339.6209299315531,342.0507108565946,-2.4297809250414844,,0.0,0.0,0.0,0.0
2021-02-11,338.3263,339.0586,334.1986,334.9689,1444069,-0.0110688011920317,-0.3750230489144941,-0.2194834528262058,-0.3276021460180562,0.009573240949710796,0.1284446613793112,338.0702532877021,341.4069098696315,-3.3366565819293896,2.0,0.6969,0.0,0.0606060606060606,0.0422363636363636
2021-02-12,334.9785,335.7108,332.9717,334.7788,1398617,-0.0005676764701248,-0.3635523301734021,0.0507728717485367,-0.3997008711963453,0.009583423001743134,0.1245688686274029,336.9731021918014,340.8043544269377,-3.8312522351363327,2.0,0.140925,0.02094081125,0.0625,0.0088078125
2021-02-16,336.2244,337.9744,334.8132,336.2054,1153539,0.004252267488926,-0.5894658031810105,0.3006430819203767,-0.2487754659606722,0.006545520926042966,0.1292644753261955,336.71720146120094,340.38626766085247,-3.6690661996515246,1.0,0.24325,0.0,0.009009009009009,0.0021914414414414
2021-02-17,335.0451,340.6469,334.6932,340.4851,1218223,0.0126490827409659,-0.1968075763200674,0.2989799383567908,-0.1003760840363544,0.009868580678659974,0.1523356430410935,337.9731676408006,340.3952524189568,-2.422084778156147,,0.0,0.0,0.0,0.0
2021-02-18,337.185,340.6754,335.0451,339.458,1280757,-0.0030211374487606,0.119726265908528,0.0962723834786203,0.1173666516782849,0.008789796519489424,0.1285872290693075,338.46811176053376,340.31004765359705,-1.841935893063294,,0.0,0.0,0.0,0.0
2021-02-19,339.1347,340.4186,337.2278,337.4132,1264875,-0.0060419359560475,0.4425873294149012,-0.05048231674586,-0.1759188894819627,0.007305191052205429,0.1317479077119711,338.11647450702253,340.0466978669064,-1.9302233598838825,,0.0,0.0,0.0,0.0
2021-02-22,335.7298,336.0056,331.7543,333.3521,1459447,-0.0121090033203762,-0.1936558281212249,-0.2836230955212876,-0.323155012808667,0.00957462107631191,0.1385474844789221,336.5283496713484,339.438098060824,-2.909748389475624,,0.0,0.0,0.0,0.0
