date,open,high,low,close,volume,daily_return,ann_return_1w,ann_return_2w,ann_return_1m,rolling_vol_7d,ann_volatility,ema_1w,ema_1m,macd_1w_1m,news_count,mean_sentiment,sentiment_variance,normalized_news_frequency,product
2021-01-04,211.48,211.66,202.4911,202.8,17230199,,,,,,,202.8,202.8,0.0,3.0,0.020475,0.001257676875,0.0909090909090909,0.0018613636363636
2021-01-05,202.9,213.35,202.72,211.3,16360557,0.0410586529049828,,,,,,205.63333333333333,203.5727272727273,2.0606060606060623,8.0,0.1312588749999999,0.2102104153872678,0.1818181818181818,0.0238652499999999
2021-01-06,210.76,215.61,209.34,211.24,13379725,-0.0002839967832785,,,,,,207.50222222222223,204.26975206611573,3.2324701561065297,4.0,0.51157925,0.0515594664889166,0.0952380952380952,0.0487218333333333
2021-01-07,212.95,216.6,206.51,210.3,11739961,-0.0044598451300782,,,,,,208.43481481481484,204.8179564237416,3.616858391073265,,0.0,0.0,0.0,0.0
2021-01-08,212.4998,214.45,208.155,209.99,11318657,-0.0014751721726273,,,,,,208.95320987654324,205.28814220340143,3.665067673141806,8.0,0.173989625,0.0420224186365535,0.1403508771929824,0.024419596491228
2021-01-11,202.65,207.7799,201.01,205.84,13237332,-0.019960742562538,1.1167806460740204,,,0.022705257744373618,,207.91547325102883,205.3383110940013,2.577162157027516,12.0,-0.0433994166666666,0.1590140518695378,0.1846153846153846,-0.0080121999999999
2021-01-12,207.2,209.06,204.81,208.19,10418255,0.0113519563141933,-0.5263663454692509,,,0.01124135700163034,,208.00698216735256,205.5975555400012,2.409426627351366,9.0,-0.012057,0.03708471750075,0.1551724137931034,-0.0018709137931034
2021-01-13,207.45,208.79,204.85,207.1,6884635,-0.0052493558861437,-0.631227455523882,,,0.011164300386148263,0.3039684911618983,207.70465477823507,205.73414140000108,1.9705133782339883,4.0,0.006028,0.161908102336,0.1333333333333333,0.0008037333333333
2021-01-14,208.55,214.19,208.13,209.74,9773075,0.0126669000047207,-0.1257485817922982,,,0.01337963404440443,0.1750527957614505,208.38310318549009,206.09831036363732,2.2847928218527045,6.0,0.1625875,0.2452185449375,0.12,0.0195105
2021-01-15,209.0,209.39,204.0,204.4,8897642,-0.0257898100767096,-0.7432994455534353,,,0.017570025020722614,0.2289182390711405,207.0554021236601,205.9439185123976,1.1114836112624855,1.0,0.44035,0.0,0.0263157894736842,0.0115881578947368
2021-01-19,207.42,211.52,206.52,210.75,9222267,0.0305937385524154,2.2808443629214943,1.635304128599442,,0.02125336936472687,0.3120137660604332,208.2869347491067,206.3808350112705,1.9060997378362288,7.0,0.0052531428571428,0.0477114552291428,0.109375,0.0005745624999999
2021-01-20,212.7,215.59,211.2,211.3999,7844299,0.0030790035171635,1.1622384315878191,0.011982653171374,,0.02092699562865273,0.3121187357099055,209.32458983273784,206.8371136466095,2.487476186128305,7.0,-0.0400714285714285,0.383397269047619,0.2916666666666667,-0.0116874999999999
2021-01-21,211.63,212.2,206.34,207.45,8836218,-0.0188612536202516,0.0888306804892049,-0.3663353721820458,,0.023055359406951182,0.3090789862245069,208.69972655515852,206.89283058782684,1.8068959673317408,5.0,0.01471,0.1486558567499999,0.1612903225806451,0.0023725806451612
2021-01-22,205.69,206.6999,204.27,206.3,5754594,-0.0055589267016706,-0.5654643615035551,-0.3836450712314327,,0.022037036114276196,0.3021265962535452,207.89981770343903,206.8389368980244,1.060880805414655,4.0,0.4891125,0.1480367039583333,0.0869565217391304,0.0425315217391304
2021-01-25,203.42,204.55,199.3,203.26,11130020,-0.0148454723675858,-0.2456378303869524,-0.5599486539127704,,0.019661113749292688,0.3126927560036037,206.35321180229272,206.513578998204,-0.1603671959112773,14.0,0.2622071428571428,0.0640084057142857,0.2028985507246377,0.0532014492753623
2021-01-26,205.45,208.35,201.76,202.4,8591650,-0.0042400102963098,-0.8696462847918536,-0.3460349766795451,,0.008769714858981516,0.2937358089649281,205.03547453486183,206.13961727109452,-1.104142736232717,5.0,0.0747704,0.0378675178423,0.0943396226415094,0.0070538113207547
