,date,rf_daily
105,2021-05-31,
106,2021-06-01,7.936504787101692e-07
107,2021-06-02,7.936504787101692e-07
108,2021-06-03,7.936504787101692e-07
109,2021-06-04,7.936504787101692e-07
110,2021-06-07,7.936504787101692e-07
111,2021-06-08,7.936504787101692e-07
112,2021-06-09,1.1904754818599728e-06
113,2021-06-10,1.1904754818599728e-06
114,2021-06-11,1.1904754818599728e-06
115,2021-06-14,1.1904754818599728e-06
116,2021-06-15,1.1904754818599728e-06
117,2021-06-16,1.587300327539756e-06
118,2021-06-17,1.587300327539756e-06
119,2021-06-18,1.984125015749643e-06
120,2021-06-21,1.984125015749643e-06
121,2021-06-22,1.587300327539756e-06
122,2021-06-23,1.984125015749643e-06
123,2021-06-24,1.984125015749643e-06
124,2021-06-25,2.38094954648976e-06
125,2021-06-28,1.984125015749643e-06
126,2021-06-29,1.587300327539756e-06
127,2021-06-30,1.984125015749643e-06
128,2021-07-01,1.984125015749643e-06
129,2021-07-02,1.984125015749643e-06
130,2021-07-05,
131,2021-07-06,1.984125015749643e-06
132,2021-07-07,1.984125015749643e-06
133,2021-07-08,2.38094954648976e-06
134,2021-07-09,2.38094954648976e-06
135,2021-07-12,1.984125015749643e-06
136,2021-07-13,1.984125015749643e-06
137,2021-07-14,2.38094954648976e-06
138,2021-07-15,1.984125015749643e-06
139,2021-07-16,1.984125015749643e-06
140,2021-07-19,1.984125015749643e-06
141,2021-07-20,1.984125015749643e-06
142,2021-07-21,1.984125015749643e-06
143,2021-07-22,1.984125015749643e-06
144,2021-07-23,1.984125015749643e-06
145,2021-07-26,1.984125015749643e-06
146,2021-07-27,1.984125015749643e-06
147,2021-07-28,1.984125015749643e-06
148,2021-07-29,2.38094954648976e-06
149,2021-07-30,2.38094954648976e-06
150,2021-08-02,1.984125015749643e-06
151,2021-08-03,1.984125015749643e-06
152,2021-08-04,1.984125015749643e-06
153,2021-08-05,1.984125015749643e-06
154,2021-08-06,2.38094954648976e-06
155,2021-08-09,2.38094954648976e-06
156,2021-08-10,1.984125015749643e-06
157,2021-08-11,1.984125015749643e-06
158,2021-08-12,2.38094954648976e-06
159,2021-08-13,2.38094954648976e-06
160,2021-08-16,2.38094954648976e-06
161,2021-08-17,2.7777739197602314e-06
162,2021-08-18,2.7777739197602314e-06
163,2021-08-19,2.38094954648976e-06
164,2021-08-20,1.984125015749643e-06
165,2021-08-23,1.984125015749643e-06
166,2021-08-24,1.984125015749643e-06
167,2021-08-25,2.38094954648976e-06
168,2021-08-26,1.984125015749643e-06
169,2021-08-27,1.984125015749643e-06
170,2021-08-30,1.984125015749643e-06
171,2021-08-31,1.587300327539756e-06
172,2021-09-01,1.984125015749643e-06
173,2021-09-02,1.984125015749643e-06
174,2021-09-03,1.984125015749643e-06
175,2021-09-06,
176,2021-09-07,1.984125015749643e-06
177,2021-09-08,1.984125015749643e-06
178,2021-09-09,1.587300327539756e-06
179,2021-09-10,1.984125015749643e-06
180,2021-09-13,2.38094954648976e-06
181,2021-09-14,1.587300327539756e-06
182,2021-09-15,1.587300327539756e-06
183,2021-09-16,1.587300327539756e-06
184,2021-09-17,1.587300327539756e-06
185,2021-09-20,1.587300327539756e-06
186,2021-09-21,1.1904754818599728e-06
187,2021-09-22,1.1904754818599728e-06
188,2021-09-23,1.1904754818599728e-06
189,2021-09-24,1.1904754818599728e-06
190,2021-09-27,1.587300327539756e-06
191,2021-09-28,1.587300327539756e-06
192,2021-09-29,1.587300327539756e-06
193,2021-09-30,1.587300327539756e-06
194,2021-10-01,1.587300327539756e-06
195,2021-10-04,1.587300327539756e-06
196,2021-10-05,1.587300327539756e-06
197,2021-10-06,1.587300327539756e-06
198,2021-10-07,1.984125015749643e-06
199,2021-10-08,1.984125015749643e-06
200,2021-10-11,
201,2021-10-12,2.38094954648976e-06
202,2021-10-13,1.984125015749643e-06
203,2021-10-14,1.984125015749643e-06
204,2021-10-15,1.984125015749643e-06
205,2021-10-18,2.38094954648976e-06
206,2021-10-19,1.984125015749643e-06
207,2021-10-20,1.984125015749643e-06
208,2021-10-21,2.38094954648976e-06
209,2021-10-22,2.38094954648976e-06
210,2021-10-25,2.38094954648976e-06
211,2021-10-26,2.38094954648976e-06
212,2021-10-27,2.38094954648976e-06
