AAPL,AMZN,BA,COST,JNJ,NVDA,TMO,TSLA,VLO,date
0.08933748,0.11309418,0.113939874,0.11394041,0.11393741,0.11394059,0.11392894,0.11394059,0.11394059,2024-03-26
0.071212545,0.11472309,0.11629932,0.11629985,0.116268486,0.116299845,0.116297126,0.11629987,0.11629987,2024-03-27
0.09175028,0.11332561,0.11356311,0.113563135,0.11354635,0.113563135,0.11356214,0.113563135,0.113563135,2024-03-28
0.08803053,0.113810234,0.11402675,0.114026755,0.11399872,0.114026755,0.11402675,0.114026755,0.114026755,2024-04-01
0.102528535,0.112166695,0.112186894,0.112186894,0.1121834,0.112186894,0.11218689,0.112186894,0.112186894,2024-04-02
0.10511837,0.1118506,0.111861706,0.111861706,0.11186082,0.111861706,0.111861706,0.111861706,0.111861706,2024-04-03
0.10172162,0.11225539,0.112289175,0.112289175,0.112287976,0.112289175,0.11228914,0.112289175,0.112289175,2024-04-04
0.107356116,0.11156743,0.111582406,0.111582406,0.11158226,0.111582406,0.11158218,0.111582406,0.111582406,2024-04-05
0.10714998,0.11155594,0.11161735,0.11161727,0.11161696,0.11161737,0.11159037,0.11161737,0.11161737,2024-04-08
0.10953808,0.11130416,0.11130829,0.11130829,0.11130816,0.11130829,0.111308105,0.11130829,0.11130829,2024-04-09
0.10972935,0.111280195,0.11128438,0.11128438,0.11128432,0.11128438,0.11128423,0.11128438,0.11128438,2024-04-10
0.10944713,0.11131482,0.11131974,0.11131974,0.111319676,0.11131974,0.111319624,0.11131974,0.11131974,2024-04-11
0.10588059,0.11173137,0.111770995,0.111770995,0.111765824,0.111770995,0.11176723,0.111770995,0.111770995,2024-04-12
0.06416997,0.11391573,0.11743011,0.11743097,0.117334284,0.11743068,0.11742619,0.11743101,0.11743101,2024-04-15
0.052331887,0.11658559,0.11874424,0.11874452,0.11861578,0.118744455,0.11874444,0.11874452,0.11874452,2024-04-16
0.09433668,0.113150105,0.11321915,0.11321915,0.11319829,0.11321915,0.11321915,0.11321915,0.11321915,2024-04-17
0.09888052,0.112602845,0.11264623,0.11264623,0.11263927,0.11264623,0.1126462,0.11264623,0.11264623,2024-04-18
0.10458423,0.11192541,0.11192731,0.11192731,0.11192653,0.11192731,0.11192731,0.11192731,0.11192731,2024-04-19
0.10245419,0.11218856,0.1121941,0.1121941,0.112192646,0.1121941,0.1121941,0.1121941,0.1121941,2024-04-22
0.106345296,0.11170613,0.111707,0.111707,0.11170655,0.111707,0.111707,0.111707,0.111707,2024-04-23
0.10898817,0.11137583,0.11137657,0.11137657,0.11137654,0.11137657,0.11137657,0.11137657,0.11137657,2024-04-24
0.10994897,0.111255996,0.111256436,0.111256436,0.111256436,0.111256436,0.11125641,0.111256436,0.111256436,2024-04-25
0.11068869,0.11116394,0.11116405,0.11116405,0.11116405,0.11116405,0.11116314,0.11116405,0.11116405,2024-04-26
0.11006435,0.11124643,0.11125242,0.11125233,0.11125242,0.11125242,0.11117471,0.11125242,0.11125242,2024-04-29
0.107312776,0.11156098,0.11159053,0.1115905,0.11159049,0.11159053,0.111583136,0.11159053,0.11159053,2024-04-30
0.089369565,0.111017846,0.115048595,0.11499123,0.11506558,0.11506661,0.109307274,0.11506661,0.11506661,2024-05-01
0.10262555,0.1104239,0.11449583,0.1143775,0.114510596,0.11451107,0.1000334,0.11451108,0.11451108,2024-05-02
0.091486946,0.10915136,0.114682786,0.11467756,0.11469107,0.11469357,0.11122954,0.11469358,0.11469358,2024-05-03
-0.022718616,0.00223479,0.14300455,0.14716834,0.14280538,0.14621243,0.14673467,0.14727919,0.14727919,2024-05-06
-0.033791024,0.012823278,0.14383028,0.14789012,0.13881612,0.14665735,0.14790942,0.14793226,0.14793226,2024-05-07
-0.0019901672,0.09620659,0.12951478,0.12963676,0.1281728,0.12960652,0.12956958,0.12964156,0.12964156,2024-05-08
0.055165615,0.11619945,0.11840207,0.11840233,0.11822163,0.11840216,0.11840202,0.11840233,0.11840233,2024-05-09
0.0800105,0.11233512,0.11540364,0.11540453,0.11536563,0.11540447,0.11526676,0.11540469,0.11540469,2024-05-10
0.04165891,0.10740862,0.12162634,0.12164446,0.12113645,0.121636845,0.12159809,0.12164512,0.12164512,2024-05-13
0.028995115,0.10185389,0.124237455,0.12426419,0.123624824,0.12424411,0.12425135,0.12426454,0.12426454,2024-05-14
0.070578724,0.11455856,0.11641266,0.11641346,0.116383694,0.11641347,0.11641247,0.11641349,0.11641349,2024-05-15
0.08472491,0.112011716,0.1147546,0.11475608,0.11474578,0.11475616,0.11473838,0.114756204,0.114756204,2024-05-16
0.08053704,0.111265615,0.11556244,0.115564846,0.11555854,0.115573235,0.11479161,0.11557334,0.11557334,2024-05-17
0.07977417,0.10860919,0.11597251,0.11598231,0.115963355,0.1159845,0.115744114,0.11598492,0.11598492,2024-05-20
0.09251335,0.112455726,0.113578685,0.113579005,0.1135681,0.11357905,0.113567926,0.11357909,0.11357909,2024-05-21
0.08992457,0.11300268,0.11386915,0.11386922,0.113859214,0.113869205,0.113867566,0.11386922,0.11386922,2024-05-22
0.09272124,0.113320366,0.113423504,0.113423504,0.11341738,0.113423504,0.113423504,0.113423504,0.113423504,2024-05-23
0.08940016,0.11371374,0.11384499,0.113845006,0.11381622,0.113845006,0.11384495,0.113845006,0.113845006,2024-05-24
0.09556533,0.11299543,0.11306317,0.11306317,0.11306033,0.11306317,0.11306304,0.11306317,0.11306317,2024-05-28
0.092561334,0.113341235,0.11344355,0.11344355,0.11343626,0.11344355,0.11344343,0.11344355,0.11344355,2024-05-29
0.06549324,0.11646614,0.11686534,0.11686535,0.11684858,0.11686535,0.11686534,0.11686535,0.11686535,2024-05-30
0.018513633,0.12147881,0.12289467,0.12289471,0.12263936,0.1228947,0.12289471,0.12289471,0.12289471,2024-05-31
0.047213495,0.11875356,0.11919093,0.119190946,0.118889526,0.11919093,0.11918871,0.119190946,0.119190946,2024-06-03
0.0771049,0.1153223,0.115370534,0.115370534,0.1153497,0.115370534,0.115370475,0.115370534,0.115370534,2024-06-04
0.083894834,0.11449756,0.11451746,0.11451746,0.11450284,0.11451746,0.11451746,0.11451746,0.11451746,2024-06-05
0.091647476,0.11353566,0.113545515,0.113545515,0.11354373,0.113545515,0.113545515,0.113545515,0.113545515,2024-06-06
0.00045782473,0.123771116,0.12513834,0.12513842,0.12494067,0.12513842,0.12513842,0.12513842,0.12513842,2024-06-07
0.0548762,0.117960446,0.118169464,0.118169464,0.11814661,0.118169464,0.118169464,0.118169464,0.118169464,2024-06-10
0.026023591,0.1206924,0.12190774,0.12190776,0.12183743,0.12190776,0.12190776,0.12190776,0.12190776,2024-06-11
-0.01585238,0.11043243,0.12951611,0.12953092,0.12825048,0.12952986,0.12953067,0.12953094,0.12953094,2024-06-12
-0.019894581,0.08527364,0.13374527,0.13381787,0.13179225,0.13381201,0.13381775,0.13381793,0.13381793,2024-06-13
-0.002525437,0.11555526,0.12673482,0.1267389,0.12654085,0.12673889,0.12673888,0.1267389,0.1267389,2024-06-14
0.0024627533,0.122658655,0.12500064,0.12500073,0.12487434,0.12500073,0.12500073,0.12500073,0.12500073,2024-06-17
0.077392966,0.115266025,0.11533475,0.11533475,0.11533256,0.11533475,0.11533475,0.11533475,0.11533475,2024-06-18
0.0113203395,0.12119427,0.12393271,0.12393283,0.12388847,0.12393283,0.12393283,0.12393283,0.12393283,2024-06-20
-0.0055131437,0.11849054,0.12674814,0.12674887,0.12653023,0.12674886,0.12674873,0.12674887,0.12674887,2024-06-21
-0.03947955,-0.0055813785,0.14430776,0.15598729,0.1261083,0.1516435,0.15465096,0.15618156,0.15618156,2024-06-24
-0.024876965,0.04443957,0.13980941,0.14043273,0.13864554,0.14039801,0.14027594,0.14043787,0.14043787,2024-06-25
-0.0047293487,0.10989787,0.12783304,0.12788735,0.12771638,0.12788956,0.12772575,0.12788971,0.12788971,2024-06-26
-0.012130351,0.060354516,0.13568224,0.13615069,0.13584381,0.13616195,0.13560133,0.13616788,0.13616788,2024-06-27
-0.011662585,0.04598172,0.13684118,0.13841245,0.1381523,0.13853194,0.13664185,0.13855056,0.13855056,2024-06-28
-0.017925143,0.018520677,0.14177588,0.14501905,0.14213938,0.14466502,0.13527301,0.14526604,0.14526604,2024-07-01
-0.011410853,0.05940892,0.13587473,0.13653888,0.13594192,0.13657217,0.13388342,0.13659538,0.13659538,2024-07-02
-0.01892964,0.039443336,0.13754971,0.14038973,0.139835,0.14054957,0.14000154,0.14058037,0.14058037,2024-07-03
-0.015616328,0.0694513,0.13510458,0.13530633,0.13505226,0.13531281,0.13476051,0.13531424,0.13531424,2024-07-05
-0.0058527538,0.080710754,0.13214739,0.13220465,0.13209462,0.13220558,0.1320778,0.132206,0.132206,2024-07-08
0.017158266,0.10985686,0.12471318,0.1247189,0.12468412,0.12471897,0.124711685,0.124719,0.124719,2024-07-09
0.01126624,0.10929658,0.12564509,0.12564912,0.12554923,0.12564895,0.12564647,0.12564914,0.12564914,2024-07-10
0.0108900685,0.11142493,0.12539591,0.12540625,0.1252613,0.12540616,0.12540258,0.1254064,0.1254064,2024-07-11
-0.010733436,0.08311668,0.1325393,0.13262324,0.13209881,0.13262203,0.13247922,0.13262707,0.13262707,2024-07-12
0.0055295466,0.11532136,0.1256192,0.12562785,0.12544623,0.12562926,0.12556778,0.1256294,0.1256294,2024-07-15
0.02312506,0.117937356,0.12274527,0.12274633,0.12246632,0.12274613,0.122740835,0.122746386,0.122746386,2024-07-16
-0.008934471,0.083730794,0.1323725,0.13245413,0.13089986,0.13241938,0.13213606,0.13246086,0.13246086,2024-07-17
-0.031128122,-0.019939639,0.14745176,0.15418231,0.1413439,0.1493349,0.14898877,0.15488304,0.15488304,2024-07-18
-0.037690796,-0.025515934,0.1616723,0.1650173,0.108274,0.13370398,0.16437916,0.16508001,0.16508001,2024-07-19
-0.027359076,0.0027123308,0.14952064,0.15093778,0.12824154,0.14329948,0.15071926,0.15096404,0.15096404,2024-07-22
-0.014729514,0.10094912,0.13115998,0.13121831,0.12661117,0.13113776,0.13121495,0.13121915,0.13121915,2024-07-23
0.0069048107,0.114474885,0.1255859,0.12559278,0.12507686,0.12559122,0.12558767,0.12559293,0.12559293,2024-07-24
-0.0043711085,0.115639955,0.12723109,0.12723537,0.12534031,0.12722903,0.12722452,0.12723541,0.12723541,2024-07-25
-0.0021547894,0.11730194,0.12670803,0.12671089,0.12460763,0.12670515,0.12669925,0.1267109,0.1267109,2024-07-26
